state,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016,Q4_2017,Q4_2018,Q4_2019,Q4_2020,Q4_2021,Q4_2022
AK,0.83,1.04,1.06,0.91,1.17,1.28,1.7,2.18,1.99,1.88,1.69,1.78,1.7,2.09,2.41,2.29,2.53,2.93,2.53,2.05
AL,2.63,2.8,2.41,2.88,3.43,4.48,5.69,6.33,5.76,4.86,4.82,4.97,4.87,5.32,5.75,6.15,6.59,6.22,5.79,5.58
AR,2.06,2.3,1.77,2.21,2.62,3.14,3.98,4.26,3.72,2.92,2.53,3.03,3.19,3.89,4.39,4.97,5.47,5.33,4.60,4.38
AZ,2.86,2.92,2.43,2.6,3.82,5.7,7.46,8.78,8.13,6.61,4.87,4.46,4.01,4.29,4.57,4.75,5.22,4.89,4.00,3.73
CA,1.89,2.1,1.9,2.62,3.6,4.98,6.18,6.48,5.5,4.19,3.07,2.85,2.55,2.92,3.63,4.15,4.89,4.80,3.83,3.35
CO,1.83,2,1.6,1.95,2.46,3.28,4.32,4.86,4.4,3.64,2.8,2.68,2.47,2.72,2.98,3.09,3.41,3.37,3.01,2.82
CT,1.42,1.47,1.33,1.47,1.87,2.25,2.24,2.34,2.38,2.03,1.86,2,1.98,2.22,2.62,2.73,3.14,3.05,2.52,2.37
DC,4.2,4.73,3.31,3.76,5.13,6.81,8.15,8.33,7.62,6.2,5.62,5.57,5.52,5.97,7.23,8.60,9.79,10.35,10.11,10.93
DE,1.91,2.06,1.78,2.12,2.75,3.37,4.74,4.92,4.36,3.84,3.28,3.6,3.1,3.71,4.35,5.13,5.51,5.17,4.49,4.48
FL,2.74,2.82,2.26,2.64,3.57,5.39,7.13,8.03,7.88,6.56,5.22,4.83,4.08,4.45,4.42,5.27,5.82,5.69,4.66,4.23
GA,3.15,3.29,2.86,3.47,4.11,5.45,6.71,7.85,6.99,5.56,5.33,5.36,4.93,5.21,5.52,5.93,6.32,6.08,5.15,4.96
HI,1.9,2.08,1.74,1.53,2.26,2.97,3.93,4.39,3.77,3.69,2.53,2.42,2.64,2.68,3.34,3.71,4.09,4.08,3.19,2.88
IA,1.96,2.36,1.6,1.63,1.74,1.9,2.39,2.39,2.08,1.73,1.64,1.82,1.89,2.13,2.32,2.59,2.89,2.83,2.55,2.57
ID,1.38,1.6,1.36,1.36,2.01,2.69,3.54,4.07,3.7,3.08,2.36,2.07,1.88,2.01,2.22,2.37,2.88,2.60,2.37,2.26
IL,2.17,2.65,2.15,2.66,3.04,3.65,4.35,4.47,4.01,3.5,3.04,3.02,2.98,3.45,3.82,4.10,4.51,4.48,3.87,3.86
IN,3.12,3.72,2.88,3.36,3.64,4.33,4.85,5.12,4.58,3.88,3.6,3.85,3.88,4.26,4.48,4.70,5.20,5.02,4.56,4.72
KS,2.07,2.12,1.86,2.21,2.43,2.66,3.4,3.51,3.17,2.99,2.62,2.86,2.95,2.97,3.05,3.14,3.40,3.28,3.02,2.90
KY,3.04,3.53,2.79,2.73,3.24,3.83,4.44,4.4,3.91,3.28,3.3,3.42,3.42,4.08,4.37,4.63,5.00,4.89,4.16,4.01
LA,2.46,2.19,1.94,2.04,2.58,3.11,4.21,4.77,4.44,3.84,4.03,4.29,4.72,5.42,5.86,6.42,6.94,6.73,5.64,5.44
MA,1.19,1.52,1.64,2.28,2.33,2.77,2.71,2.68,2.33,2.14,1.89,1.82,1.66,1.83,2.06,2.27,2.79,2.66,1.94,1.86
MD,2.04,2.4,1.96,2.34,2.92,3.85,4.61,4.89,4.19,3.56,3.14,3.13,3.14,3.75,4.25,4.66,5.11,4.90,4.29,4.25
ME,1.99,2.03,1.59,2.08,2.24,2.42,2.79,2.94,3.08,2.82,2.42,2.44,1.98,2.25,2.53,2.65,3.14,2.97,2.45,2.39
