state,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016,Q4_2017,Q4_2018,Q4_2019,Q4_2020,Q4_2021,Q4_2022
AK,5.21,5.68,5.2,6.61,6.4,5.58,7.01,7.61,5.65,5.22,5,3.98,5.36,5.01,5.83,6.34,6.58,7.84,7.53,6.46
AL,11.92,11.09,10.7,11.88,11.07,10.13,11.61,11.94,10.23,9.57,9.05,7.69,7.45,7.16,7.68,7.73,8.37,9.14,8.53,8.17
AR,11.22,10.75,10.08,11.38,10.79,10.15,11.79,11.54,9.61,9.1,8.58,7.01,7.63,7.81,8.66,9.06,9.74,10.74,10.23,9.49
AZ,8.97,9.19,8.34,9.1,8.96,10.95,16.36,17.26,14.44,13.27,12,8.94,9.26,8.63,9.54,9.87,10.39,10.93,9.40,8.01
CA,8.84,8.55,7.65,8.98,9.32,11.57,17.19,17.71,14.87,13.26,11.14,8.06,8.48,8.15,8.37,8.23,8.70,10.41,9.07,7.90
CO,7.31,7.61,6.75,7.82,7.96,8.05,10.72,11.05,9.41,8.54,7.78,6.13,6.17,6.01,6.30,6.19,6.46,7.51,6.57,6.03
CT,7.81,7.21,6.47,7.7,7.64,8.3,11.16,11.17,9.23,8.85,8.22,6.67,6.72,6.44,6.84,6.70,7.06,8.26,7.10,6.72
DC,9.72,9.51,8.42,9.19,8.22,8.35,8.93,9.05,7.7,7.76,6.43,4.89,5.64,5.22,5.86,5.60,6.53,8.01,7.29,7.94
DE,9.04,8.7,8.29,9.81,8.98,10.2,12.08,12.63,11.86,11.42,10.25,8.52,8.9,7.92,8.31,8.46,8.56,9.06,8.38,7.67
FL,11.87,11.4,10.47,11.2,10.85,13.76,19.38,20.8,17.88,16.86,15.05,10.56,10.52,9.55,9.41,9.67,10.54,11.94,10.66,9.37
GA,9.67,9.62,9.23,10.6,9.7,9.71,13.01,13.42,11.58,10.91,9.51,7.54,8.05,7.37,7.64,7.66,8.33,9.52,8.91,8.42
HI,7.67,7.44,7.23,7.63,7.78,7.87,10.47,11.78,10.29,9.63,8.77,6.34,6.97,6.02,6.20,6.24,7.17,8.40,7.27,6.48
IA,7.59,7.66,7.18,8.4,7.62,6.91,8.39,9.13,7.75,6.68,6.02,5.14,5.61,5.48,6.08,6.31,6.98,7.66,6.65,6.52
ID,7.03,7.42,6.6,7.69,7.11,7.82,10.69,11.71,9.76,9.28,7.89,6.28,6.66,6.18,6.55,6.34,6.83,7.39,6.71,5.60
IL,7.9,7.91,7.29,8.52,8.14,8.61,11.3,11.49,9.98,9.47,8.75,6.49,6.35,5.94,6.30,6.06,6.62,7.91,7.04,6.65
IN,7.67,7.6,7.25,8.4,8.31,8.06,10.05,10.17,8.43,8.24,7.91,6.32,6.25,6.1,6.46,6.49,7.04,7.94,7.08,6.72
KS,8.44,8.26,7.79,8.49,7.97,7.75,8.88,9.55,8.17,7.55,7.09,6.04,5.99,5.61,5.89,6.02,6.42,6.92,6.82,6.51
KY,9.5,9.85,9.61,10.36,9.48,9.12,10.32,10.13,8.27,7.66,7.45,6.53,6.75,6.57,7.09,7.40,7.82,8.55,7.76,7.30
LA,11.34,11.33,10.7,12.29,11.06,10.23,11.17,11.75,9.84,9.39,9.01,7.06,6.98,7.06,7.78,8.06,8.62,9.34,8.60,8.23
MA,7.56,7.48,7.04,8.55,8.83,9.12,11.85,12.31,10.55,10.13,9.5,6.91,7.1,6.43,6.64,6.58,7.22,8.55,7.28,6.59
MD,8.21,7.61,7.06,7.66,7.34,8.16,10.79,10.46,9,8.52,7.89,6.27,6.75,6.31,6.80,7.01,7.43,8.31,7.56,6.94
ME,7.79,8.3,7.53,9.45,9.45,8.68,11.35,11.6,10.08,9.49,9.08,6.94,7.25,6.49,6.42,5.94,6.22,6.85,6.36,5.85
MI,8.03,7.93,7.54,9.27,9.47,9.68,12.46,12.46,10.02,9.52,8.63,6.71,6.63,6.4,6.36,6.31,6.88,7.84,6.76,6.63
MN,5.86,5.78,5.47,6.71,7.2,7.73,9.88,10.22,8.2,7.43,6.74,5.41,5.48,5.17,5.57,5.75,6.07,6.65,5.78,5.40
MO,9.19,9.18,8.44,9.89,9.35,9.33,11.44,11.75,9.92,9.19,8.7,7.11,7.28,7.1,7.30,7.10,7.65,8.49,7.67,7.06
MS,13.1,13,13.37,14.79,13.25,12.1,13.05,11.8,9.87,9.22,8.08,6.64,6.9,7.04,7.36,8.39,9.50,9.66,8.77,8.44
MT,7.93,8.68,7.75,8.14,7.85,8.24,12.11,11.6,9.23,8.76,7.85,6.79,6.46,6.24,5.98,6.35,7.05,7.60,6.67,5.80
NC,9.64,9.82,9.7,10.77,9.51,8.93,10.54,11.2,10.16,10.39,9.59,7.17,7.76,7.36,7.43,7.68,8.15,9.08,8.15,7.77
ND,5.94,6.42,5.86,6.85,6.08,5.42,6.43,7.4,5.69,4.19,4.38,3.61,3.85,4.22,5.10,4.68,5.58,6.40,6.03,5.65
NE,7.35,7.27,6.7,7.39,7.63,6.99,7.94,8.29,6.82,6.16,5.65,4.58,4.77,4.82,5.07,5.48,6.65,7.47,6.72,6.09
NH,6.99,6.41,6.18,7.8,8.62,8.87,11.62,11.53,10.4,9.62,8.68,6.64,6.83,6.07,6.07,5.84,6.64,7.54,6.56,5.74
NJ,7.8,7.37,6.93,7.76,7.82,8.38,11.07,11.57,10.17,9.69,9.11,7.23,7.7,7.2,7.30,7.34,7.51,8.45,7.38,6.71
NM,9.71,9.2,8.61,10.18,9.16,8.79,10.71,11.84,9.95,9.54,9.14,7.51,8.55,8.32,9.02,8.90,9.00,9.81,9.07,8.14
NV,11.41,11.04,9.82,11.36,11.54,14.31,20.75,22.35,19.52,16.57,14.86,10.71,10.95,9.88,10.76,10.37,11.51,13.32,12.00,10.52
NY,9.9,9.34,8.26,9.32,9.21,9.57,11.9,12.81,11.48,11.01,10.46,8.03,8.24,8.22,8.32,8.35,8.96,10.35,8.94,8.17
OH,8.4,8.27,7.8,8.96,8.91,8.64,10.28,10.37,8.38,9.13,8.63,6.99,6.91,6.81,7.16,6.89,7.42,7.90,7.18,6.91
OK,10.22,10.7,9.46,10.5,10.22,9.93,11.28,11.38,9.51,8.98,8.51,6.67,7.29,7.22,7.86,8.74,8.91,10.36,9.16,8.53
OR,8,8.21,7.45,8.5,7.89,8.48,11.66,12.76,10.65,9.36,8.32,6.43,6.67,6.08,5.99,6.10,6.33,7.45,6.79,6.08
PA,9.11,8.96,8.56,10.2,9.63,9.34,10.96,11.26,9.65,9.13,8.81,7.24,7.35,7.05,7.22,7.49,7.98,8.84,7.81,7.60
PR,7.74,8.06,7.41,9.35,12.06,13.13,14.57,17.74,14.03,14.3,14.07,12.67,11.15,11.74,,,,,,
RI,8.68,8.58,8.36,10.3,10.39,10.77,13.27,13.24,11.51,10.61,9.99,8.08,7.79,7.06,7.59,7.80,8.12,8.98,7.49,6.88
SC,11.2,11.28,11.36,12.78,11.35,10.22,12.56,14.22,12.88,12.22,11.44,8.43,8.54,7.65,7.80,7.77,8.16,8.99,8.63,8.21
SD,6.46,6.18,6.19,7.17,7.06,6.58,8.58,8.68,6.56,6.07,6.13,5.46,5.98,5.73,6.24,5.79,6.30,7.23,6.44,6.11
TN,9.41,9.71,9.62,10.85,9.7,9.59,11.09,11.81,10.02,9.21,8.67,7.04,7.11,6.67,7.09,7.17,7.79,8.67,7.83,7.48
TX,12.48,12.95,12.44,13.81,12.98,11.92,13.67,14.22,11.98,11.09,10.15,7.8,8.19,7.84,8.41,8.65,9.20,10.49,9.43,8.67
UT,7.04,7.08,6.29,6.85,6.45,6.56,10.54,11.42,9.4,8.76,7.57,6.03,6.03,5.56,5.55,5.39,5.84,6.49,5.66,4.95
VA,6.95,6.35,6.35,6.84,6.61,7.13,9.34,9.63,7.82,7.37,6.94,5.47,6.17,5.87,6.10,6.26,6.57,7.44,6.60,6.02
VT,7.59,6.94,6.38,7.73,7.61,8.46,9.51,10.42,8.7,8.27,8.37,5.89,5.87,5.46,5.83,5.81,5.78,6.55,6.03,6.01
WA,6.77,6.63,5.97,7.22,6.51,6.73,9.28,10.15,8.79,7.94,6.96,5.3,5.94,5.36,5.43,5.47,5.79,6.57,5.77,5.23
WI,6.48,6.57,5.76,6.96,6.9,6.96,9,8.64,7.5,6.54,6.04,4.82,4.88,4.47,4.74,5.06,5.47,6.29,5.34,4.94
WV,8.65,9.1,9.37,10.71,10.37,9.48,10.37,10.87,9.12,9.29,8.46,6.17,7.45,7.34,8.11,7.82,8.14,8.66,8.30,8.35
