,TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
0,T20600,A065RC,1,Personal income,2001M01,Current Dollars,Level,6,"8,940,891",T20600
1,T20600,A065RC,1,Personal income,2001M02,Current Dollars,Level,6,"8,975,805",T20600
2,T20600,A065RC,1,Personal income,2001M03,Current Dollars,Level,6,"9,009,416",T20600
3,T20600,A065RC,1,Personal income,2001M04,Current Dollars,Level,6,"9,008,903",T20600
4,T20600,A065RC,1,Personal income,2001M05,Current Dollars,Level,6,"9,011,065",T20600
5,T20600,A065RC,1,Personal income,2001M06,Current Dollars,Level,6,"9,017,106",T20600
6,T20600,A065RC,1,Personal income,2001M07,Current Dollars,Level,6,"9,014,612",T20600
7,T20600,A065RC,1,Personal income,2001M08,Current Dollars,Level,6,"9,001,374",T20600
8,T20600,A065RC,1,Personal income,2001M09,Current Dollars,Level,6,"8,975,331",T20600
9,T20600,A065RC,1,Personal income,2001M10,Current Dollars,Level,6,"8,987,273",T20600
10,T20600,A065RC,1,Personal income,2001M11,Current Dollars,Level,6,"8,985,078",T20600
11,T20600,A065RC,1,Personal income,2001M12,Current Dollars,Level,6,"8,990,696",T20600
12,T20600,A065RC,1,Personal income,2002M01,Current Dollars,Level,6,"9,015,609",T20600
13,T20600,A065RC,1,Personal income,2002M02,Current Dollars,Level,6,"9,031,886",T20600
14,T20600,A065RC,1,Personal income,2002M03,Current Dollars,Level,6,"9,050,689",T20600
15,T20600,A065RC,1,Personal income,2002M04,Current Dollars,Level,6,"9,099,888",T20600
16,T20600,A065RC,1,Personal income,2002M05,Current Dollars,Level,6,"9,131,022",T20600
17,T20600,A065RC,1,Personal income,2002M06,Current Dollars,Level,6,"9,164,806",T20600
18,T20600,A065RC,1,Personal income,2002M07,Current Dollars,Level,6,"9,157,525",T20600
19,T20600,A065RC,1,Personal income,2002M08,Current Dollars,Level,6,"9,175,330",T20600
20,T20600,A065RC,1,Personal income,2002M09,Current Dollars,Level,6,"9,197,135",T20600
21,T20600,A065RC,1,Personal income,2002M10,Current Dollars,Level,6,"9,229,567",T20600
22,T20600,A065RC,1,Personal income,2002M11,Current Dollars,Level,6,"9,258,835",T20600
23,T20600,A065RC,1,Personal income,2002M12,Current Dollars,Level,6,"9,288,296",T20600
24,T20600,A065RC,1,Personal income,2003M01,Current Dollars,Level,6,"9,290,106",T20600
25,T20600,A065RC,1,Personal income,2003M02,Current Dollars,Level,6,"9,296,201",T20600
26,T20600,A065RC,1,Personal income,2003M03,Current Dollars,Level,6,"9,333,827",T20600
27,T20600,A065RC,1,Personal income,2003M04,Current Dollars,Level,6,"9,356,358",T20600
28,T20600,A065RC,1,Personal income,2003M05,Current Dollars,Level,6,"9,414,424",T20600
29,T20600,A065RC,1,Personal income,2003M06,Current Dollars,Level,6,"9,455,307",T20600
30,T20600,A065RC,1,Personal income,2003M07,Current Dollars,Level,6,"9,491,649",T20600
31,T20600,A065RC,1,Personal income,2003M08,Current Dollars,Level,6,"9,538,772",T20600
32,T20600,A065RC,1,Personal income,2003M09,Current Dollars,Level,6,"9,582,532",T20600
